collection_id,bin_id,collection_date,location_type,district,fill_level_percent,fill_level_category,waste_type_primary,days_since_last_collection,nearby_population,overflow_reported,odor_complaint,priority_score,priority_category
COL_0000048,BIN_00001,2022-06-11,residential,East Legon,26.2,low,general,4,194,0,0,21,LOW
COL_0000049,BIN_00001,2022-06-14,residential,East Legon,17.6,low,recyclable,3,194,0,0,15,LOW
COL_0000050,BIN_00001,2022-06-17,residential,East Legon,20.5,low,hazardous,3,194,0,0,37,MEDIUM
COL_0000051,BIN_00001,2022-06-21,residential,East Legon,23.2,low,recyclable,4,194,0,0,19,LOW
COL_0000052,BIN_00001,2022-06-24,residential,East Legon,17.5,low,recyclable,3,194,0,0,15,LOW
COL_0000053,BIN_00001,2022-06-27,residential,East Legon,23.7,low,organic,3,194,0,0,22,LOW
COL_0000054,BIN_00001,2022-06-30,residential,East Legon,18.7,low,general,3,194,0,0,17,LOW
COL_0000055,BIN_00001,2022-07-03,residential,East Legon,19.3,low,general,3,194,0,0,17,LOW
COL_0000056,BIN_00001,2022-07-06,residential,East Legon,20.4,low,general,3,194,0,0,17,LOW
COL_0000057,BIN_00001,2022-07-09,residential,East Legon,15.6,low,organic,3,194,0,0,22,LOW
COL_0000058,BIN_00001,2022-07-12,residential,East Legon,15.5,low,recyclable,3,194,0,0,15,LOW
COL_0000059,BIN_00001,2022-07-15,residential,East Legon,12.5,low,hazardous,3,194,0,0,37,MEDIUM
COL_0000060,BIN_00001,2022-07-18,residential,East Legon,19.2,low,organic,3,194,0,0,22,LOW
COL_0000061,BIN_00001,2022-07-21,residential,East Legon,21.4,low,general,3,194,0,0,17,LOW
COL_0000062,BIN_00001,2022-07-24,residential,East Legon,16.5,low,organic,3,194,0,0,22,LOW
COL_0000063,BIN_00001,2022-07-27,residential,East Legon,16.7,low,recyclable,3,194,0,0,15,LOW
COL_0000064,BIN_00001,2022-07-30,residential,East Legon,16.7,low,organic,3,194,0,0,22,LOW
COL_0000065,BIN_00001,2022-08-02,residential,East Legon,17.2,low,organic,3,194,0,0,22,LOW
COL_0000066,BIN_00001,2022-08-07,residential,East Legon,33.0,medium,general,5,194,0,0,31,MEDIUM
COL_0000067,BIN_00001,2022-08-10,residential,East Legon,21.4,low,organic,3,194,0,0,22,LOW
COL_0000068,BIN_00001,2022-08-13,residential,East Legon,26.7,low,general,3,194,0,0,17,LOW
COL_0000069,BIN_00001,2022-08-17,residential,East Legon,31.1,medium,organic,4,194,0,0,32,MEDIUM
COL_0000070,BIN_00001,2022-08-21,residential,East Legon,30.1,medium,organic,4,194,0,0,32,MEDIUM
COL_0000071,BIN_00001,2022-08-24,residential,East Legon,23.7,low,recyclable,3,194,0,0,15,LOW
COL_0000072,BIN_00001,2022-08-27,residential,East Legon,30.3,medium,general,3,194,0,0,23,LOW
COL_0000073,BIN_00001,2022-08-30,residential,East Legon,30.5,medium,general,3,194,0,0,23,LOW
COL_0000074,BIN_00001,2022-09-02,residential,East Legon,14.1,low,organic,3,194,0,0,22,LOW
COL_0000075,BIN_00001,2022-09-05,residential,East Legon,14.7,low,organic,3,194,0,0,22,LOW
COL_0000076,BIN_00001,2022-09-08,residential,East Legon,16.5,low,general,3,194,0,0,17,LOW
COL_0000077,BIN_00001,2022-09-11,residential,East Legon,17.7,low,recyclable,3,194,0,0,15,LOW
COL_0000078,BIN_00001,2022-09-14,residential,East Legon,13.0,low,general,3,194,0,0,17,LOW
COL_0000079,BIN_00001,2022-09-17,residential,East Legon,17.7,low,organic,3,194,0,0,22,LOW
COL_0000080,BIN_00001,2022-09-20,residential,East Legon,13.6,low,e_waste,3,194,0,0,27,LOW
COL_0000081,BIN_00001,2022-09-23,residential,East Legon,15.1,low,organic,3,194,0,0,22,LOW
COL_0000082,BIN_00001,2022-09-27,residential,East Legon,18.8,low,recyclable,4,194,0,0,19,LOW
COL_0000083,BIN_00001,2022-09-30,residential,East Legon,10.0,low,general,3,194,0,0,17,LOW
COL_0000084,BIN_00001,2022-10-03,residential,East Legon,21.7,low,recyclable,3,194,0,0,15,LOW
COL_0000085,BIN_00001,2022-10-07,residential,East Legon,21.3,low,organic,4,194,0,0,26,LOW
COL_0000086,BIN_00001,2022-10-10,residential,East Legon,16.9,low,general,3,194,0,0,17,LOW
COL_0000087,BIN_00001,2022-10-14,residential,East Legon,24.1,low,organic,4,194,0,0,26,LOW
COL_0000088,BIN_00001,2022-10-17,residential,East Legon,24.0,low,recyclable,3,194,0,0,15,LOW
COL_0000089,BIN_00001,2022-10-20,residential,East Legon,22.0,low,organic,3,194,0,0,22,LOW
COL_0000090,BIN_00001,2022-10-23,residential,East Legon,17.7,low,recyclable,3,194,0,0,15,LOW
COL_0000091,BIN_00001,2022-10-28,residential,East Legon,26.1,low,general,5,194,0,0,25,LOW
COL_0000092,BIN_00001,2022-10-31,residential,East Legon,19.2,low,general,3,194,0,0,17,LOW
COL_0000093,BIN_00001,2022-11-04,residential,East Legon,20.5,low,recyclable,4,194,0,0,19,LOW
COL_0000094,BIN_00001,2022-11-07,residential,East Legon,20.2,low,organic,3,194,0,0,22,LOW
COL_0000095,BIN_00001,2022-11-10,residential,East Legon,15.6,low,organic,3,194,0,0,22,LOW
COL_0000096,BIN_00001,2022-11-13,residential,East Legon,19.1,low,recyclable,3,194,0,0,15,LOW
COL_0000097,BIN_00001,2022-11-16,residential,East Legon,23.9,low,recyclable,3,194,0,0,15,LOW
COL_0000098,BIN_00001,2022-11-19,residential,East Legon,22.5,low,organic,3,194,0,0,22,LOW
COL_0000099,BIN_00001,2022-11-22,residential,East Legon,16.8,low,recyclable,3,194,0,0,15,LOW
COL_0000100,BIN_00001,2022-11-25,residential,East Legon,17.9,low,recyclable,3,194,0,0,15,LOW
COL_0000101,BIN_00001,2022-11-28,residential,East Legon,18.1,low,organic,3,194,0,0,22,LOW
COL_0000102,BIN_00001,2022-12-02,residential,East Legon,24.5,low,organic,4,194,0,0,26,LOW
COL_0000103,BIN_00001,2022-12-05,residential,East Legon,22.3,low,general,3,194,0,0,17,LOW
COL_0000104,BIN_00001,2022-12-08,residential,East Legon,13.7,low,organic,3,194,0,0,22,LOW
COL_0000105,BIN_00001,2022-12-12,residential,East Legon,30.6,medium,general,4,194,0,0,27,LOW
COL_0000106,BIN_00001,2022-12-16,residential,East Legon,27.0,low,organic,4,194,0,0,26,LOW
COL_0000107,BIN_00001,2022-12-21,residential,East Legon,40.9,medium,general,5,194,0,0,31,MEDIUM
COL_0000108,BIN_00001,2022-12-24,residential,East Legon,35.9,medium,general,3,194,0,0,23,LOW
COL_0000109,BIN_00001,2022-12-27,residential,East Legon,36.1,medium,general,3,194,0,0,23,LOW
COL_0000110,BIN_00001,2023-01-02,residential,East Legon,56.2,medium,general,6,194,0,0,41,MEDIUM
COL_0000111,BIN_00001,2023-01-05,residential,East Legon,17.3,low,general,3,194,0,0,17,LOW
COL_0000112,BIN_00001,2023-01-09,residential,East Legon,29.1,low,organic,4,194,0,0,26,LOW
COL_0000113,BIN_00001,2023-01-13,residential,East Legon,25.5,low,recyclable,4,194,0,0,19,LOW
COL_0000114,BIN_00001,2023-01-16,residential,East Legon,21.9,low,recyclable,3,194,0,0,15,LOW
COL_0000115,BIN_00001,2023-01-19,residential,East Legon,15.5,low,recyclable,3,194,0,0,15,LOW
COL_0000116,BIN_00001,2023-01-23,residential,East Legon,32.8,medium,general,4,194,0,0,27,LOW
COL_0000117,BIN_00001,2023-01-26,residential,East Legon,18.9,low,organic,3,194,0,0,22,LOW
COL_0000118,BIN_00001,2023-01-29,residential,East Legon,21.1,low,organic,3,194,0,0,22,LOW
COL_0000119,BIN_00001,2023-02-03,residential,East Legon,37.0,medium,general,5,194,0,0,31,MEDIUM
COL_0000120,BIN_00001,2023-02-06,residential,East Legon,23.6,low,organic,3,194,0,0,22,LOW
COL_0000121,BIN_00001,2023-02-09,residential,East Legon,20.1,low,recyclable,3,194,0,0,15,LOW
COL_0000122,BIN_00001,2023-02-15,residential,East Legon,40.9,medium,organic,6,194,0,0,36,MEDIUM
COL_0000123,BIN_00001,2023-02-18,residential,East Legon,25.1,low,recyclable,3,194,0,0,15,LOW
COL_0000124,BIN_00001,2023-02-21,residential,East Legon,22.7,low,organic,3,194,0,0,22,LOW
COL_0000125,BIN_00001,2023-02-24,residential,East Legon,20.4,low,organic,3,194,0,0,22,LOW
COL_0000126,BIN_00001,2023-02-27,residential,East Legon,29.2,low,general,3,194,0,0,17,LOW
COL_0000127,BIN_00001,2023-03-02,residential,East Legon,14.9,low,general,3,194,0,0,17,LOW
COL_0000128,BIN_00001,2023-03-06,residential,East Legon,28.0,low,organic,4,194,0,0,26,LOW
COL_0000129,BIN_00001,2023-03-09,residential,East Legon,20.6,low,general,3,194,0,0,17,LOW
COL_0000130,BIN_00001,2023-03-12,residential,East Legon,21.7,low,organic,3,194,0,0,22,LOW
COL_0000131,BIN_00001,2023-03-16,residential,East Legon,25.7,low,general,4,194,0,0,21,LOW
COL_0000132,BIN_00001,2023-03-19,residential,East Legon,20.5,low,recyclable,3,194,0,0,15,LOW
COL_0000133,BIN_00001,2023-03-24,residential,East Legon,34.4,medium,general,5,194,0,0,31,MEDIUM
COL_0000134,BIN_00001,2023-03-27,residential,East Legon,22.6,low,recyclable,3,194,0,0,15,LOW
COL_0000135,BIN_00001,2023-03-30,residential,East Legon,16.0,low,organic,3,194,0,0,22,LOW
COL_0000136,BIN_00001,2023-04-02,residential,East Legon,24.7,low,organic,3,194,0,0,22,LOW
COL_0000137,BIN_00001,2023-04-06,residential,East Legon,30.4,medium,organic,4,194,0,0,32,MEDIUM
COL_0000138,BIN_00001,2023-04-10,residential,East Legon,35.3,medium,organic,4,194,0,0,32,MEDIUM
COL_0000139,BIN_00001,2023-04-13,residential,East Legon,14.9,low,organic,3,194,0,0,22,LOW
COL_0000140,BIN_00001,2023-04-16,residential,East Legon,15.2,low,recyclable,3,194,0,0,15,LOW
COL_0000141,BIN_00001,2023-04-19,residential,East Legon,18.9,low,organic,3,194,0,0,22,LOW
COL_0000142,BIN_00001,2023-04-22,residential,East Legon,18.9,low,recyclable,3,194,0,0,15,LOW
COL_0000143,BIN_00001,2023-04-26,residential,East Legon,25.0,low,e_waste,4,194,0,0,31,MEDIUM
COL_0000144,BIN_00001,2023-04-29,residential,East Legon,23.3,low,general,3,194,0,0,17,LOW
COL_0000145,BIN_00001,2023-05-02,residential,East Legon,18.1,low,organic,3,194,0,0,22,LOW
COL_0000146,BIN_00001,2023-05-07,residential,East Legon,31.4,medium,recyclable,5,194,0,0,29,LOW
COL_0000147,BIN_00001,2023-05-10,residential,East Legon,21.4,low,recyclable,3,194,0,0,15,LOW
COL_0000148,BIN_00001,2023-05-13,residential,East Legon,15.0,low,organic,3,194,0,0,22,LOW
COL_0000149,BIN_00001,2023-05-16,residential,East Legon,19.5,low,recyclable,3,194,0,0,15,LOW
COL_0000150,BIN_00001,2023-05-19,residential,East Legon,13.4,low,general,3,194,0,0,17,LOW
COL_0000151,BIN_00001,2023-05-23,residential,East Legon,21.3,low,general,4,194,0,0,21,LOW
COL_0000152,BIN_00001,2023-05-28,residential,East Legon,23.3,low,organic,5,194,0,0,30,MEDIUM
COL_0000153,BIN_00001,2023-06-01,residential,East Legon,16.3,low,organic,4,194,0,0,26,LOW
COL_0000154,BIN_00001,2023-06-04,residential,East Legon,18.9,low,organic,3,194,0,0,22,LOW
COL_0000155,BIN_00001,2023-06-08,residential,East Legon,23.8,low,organic,4,194,0,0,26,LOW
COL_0000156,BIN_00001,2023-06-12,residential,East Legon,16.7,low,organic,4,194,0,0,26,LOW
COL_0000157,BIN_00001,2023-06-15,residential,East Legon,18.2,low,organic,3,194,0,0,22,LOW
COL_0000158,BIN_00001,2023-06-18,residential,East Legon,16.9,low,organic,3,194,0,0,22,LOW
COL_0000159,BIN_00001,2023-06-22,residential,East Legon,26.2,low,organic,4,194,0,0,26,LOW
COL_0000160,BIN_00001,2023-06-25,residential,East Legon,17.9,low,organic,3,194,0,0,22,LOW
COL_0000161,BIN_00001,2023-06-28,residential,East Legon,21.8,low,general,3,194,0,0,17,LOW
COL_0000162,BIN_00001,2023-07-03,residential,East Legon,21.1,low,general,5,194,0,0,25,LOW
COL_0000163,BIN_00001,2023-07-07,residential,East Legon,24.3,low,organic,4,194,0,0,26,LOW
COL_0000164,BIN_00001,2023-07-11,residential,East Legon,29.0,low,organic,4,194,0,0,26,LOW
COL_0000165,BIN_00001,2023-07-14,residential,East Legon,17.5,low,recyclable,3,194,0,0,15,LOW
COL_0000166,BIN_00001,2023-07-17,residential,East Legon,22.5,low,organic,3,194,0,0,22,LOW
COL_0000167,BIN_00001,2023-07-22,residential,East Legon,26.7,low,recyclable,5,194,0,0,23,LOW
COL_0000168,BIN_00001,2023-07-25,residential,East Legon,14.3,low,recyclable,3,194,0,0,15,LOW
COL_0000169,BIN_00001,2023-07-29,residential,East Legon,20.8,low,recyclable,4,194,0,0,19,LOW
COL_0000170,BIN_00001,2023-08-01,residential,East Legon,11.9,low,recyclable,3,194,0,0,15,LOW
COL_0000171,BIN_00001,2023-08-04,residential,East Legon,20.4,low,organic,3,194,0,0,22,LOW
COL_0000172,BIN_00001,2023-08-08,residential,East Legon,32.7,medium,general,4,194,0,0,27,LOW
COL_0000173,BIN_00001,2023-08-12,residential,East Legon,34.8,medium,construction,4,194,0,0,22,LOW
COL_0000174,BIN_00001,2023-08-16,residential,East Legon,27.7,low,general,4,194,0,0,21,LOW
COL_0000175,BIN_00001,2023-08-20,residential,East Legon,29.0,low,general,4,194,0,0,21,LOW
COL_0000176,BIN_00001,2023-08-23,residential,East Legon,24.1,low,organic,3,194,0,0,22,LOW
COL_0000177,BIN_00001,2023-08-26,residential,East Legon,18.2,low,organic,3,194,0,0,22,LOW
COL_0000178,BIN_00001,2023-08-31,residential,East Legon,33.4,medium,organic,5,194,0,0,36,MEDIUM
COL_0000179,BIN_00001,2023-09-04,residential,East Legon,23.3,low,general,4,194,0,0,21,LOW
COL_0000180,BIN_00001,2023-09-07,residential,East Legon,21.6,low,organic,3,194,0,0,22,LOW
COL_0000181,BIN_00001,2023-09-10,residential,East Legon,19.2,low,organic,3,194,0,0,22,LOW
COL_0000182,BIN_00001,2023-09-13,residential,East Legon,24.1,low,organic,3,194,0,0,22,LOW
COL_0000183,BIN_00001,2023-09-17,residential,East Legon,20.6,low,recyclable,4,194,0,0,19,LOW
COL_0000184,BIN_00001,2023-09-21,residential,East Legon,24.0,low,organic,4,194,0,0,26,LOW
COL_0000185,BIN_00001,2023-09-24,residential,East Legon,14.4,low,organic,3,194,0,0,22,LOW
COL_0000186,BIN_00001,2023-09-27,residential,East Legon,20.0,low,general,3,194,0,0,17,LOW
COL_0000187,BIN_00001,2023-09-30,residential,East Legon,19.5,low,general,3,194,0,0,17,LOW
COL_0000188,BIN_00001,2023-10-03,residential,East Legon,17.7,low,organic,3,194,0,0,22,LOW
COL_0000189,BIN_00001,2023-10-07,residential,East Legon,19.3,low,organic,4,194,0,0,26,LOW
COL_0000190,BIN_00001,2023-10-10,residential,East Legon,22.2,low,hazardous,3,194,0,0,37,MEDIUM
COL_0000191,BIN_00001,2023-10-13,residential,East Legon,21.7,low,organic,3,194,0,0,22,LOW
COL_0000192,BIN_00001,2023-10-16,residential,East Legon,18.2,low,organic,3,194,0,0,22,LOW
COL_0000193,BIN_00001,2023-10-19,residential,East Legon,16.1,low,recyclable,3,194,0,0,15,LOW
COL_0000194,BIN_00001,2023-10-23,residential,East Legon,27.3,low,organic,4,194,0,0,26,LOW
COL_0000195,BIN_00001,2023-10-26,residential,East Legon,19.4,low,recyclable,3,194,0,0,15,LOW
COL_0000196,BIN_00001,2023-10-29,residential,East Legon,18.5,low,general,3,194,0,0,17,LOW
COL_0000197,BIN_00001,2023-11-01,residential,East Legon,14.4,low,recyclable,3,194,0,0,15,LOW
COL_0000198,BIN_00001,2023-11-05,residential,East Legon,24.8,low,general,4,194,0,0,21,LOW
COL_0000199,BIN_00001,2023-11-08,residential,East Legon,11.5,low,general,3,194,0,0,17,LOW
COL_0000200,BIN_00001,2023-11-12,residential,East Legon,22.5,low,organic,4,194,0,0,26,LOW
COL_0000201,BIN_00001,2023-11-16,residential,East Legon,17.1,low,general,4,194,0,0,21,LOW
COL_0000202,BIN_00001,2023-11-19,residential,East Legon,17.6,low,organic,3,194,0,0,22,LOW
COL_0000203,BIN_00001,2023-11-22,residential,East Legon,11.6,low,recyclable,3,194,0,0,15,LOW
COL_0000204,BIN_00001,2023-11-25,residential,East Legon,19.5,low,recyclable,3,194,0,0,15,LOW
COL_0000205,BIN_00001,2023-11-28,residential,East Legon,21.1,low,general,3,194,0,0,17,LOW
COL_0000206,BIN_00001,2023-12-01,residential,East Legon,20.6,low,organic,3,194,0,0,22,LOW
COL_0000207,BIN_00001,2023-12-04,residential,East Legon,25.8,low,recyclable,3,194,0,0,15,LOW
COL_0000208,BIN_00001,2023-12-08,residential,East Legon,31.3,medium,organic,4,194,0,0,32,MEDIUM
COL_0000209,BIN_00001,2023-12-11,residential,East Legon,25.8,low,general,3,194,0,0,17,LOW
COL_0000210,BIN_00001,2023-12-14,residential,East Legon,23.2,low,recyclable,3,194,0,0,15,LOW
COL_0000211,BIN_00001,2023-12-17,residential,East Legon,20.6,low,recyclable,3,194,0,0,15,LOW
COL_0000212,BIN_00001,2023-12-20,residential,East Legon,28.6,low,recyclable,3,194,0,0,15,LOW
COL_0000213,BIN_00001,2023-12-24,residential,East Legon,45.7,medium,organic,4,194,0,0,32,MEDIUM
COL_0000214,BIN_00001,2023-12-27,residential,East Legon,31.6,medium,general,3,194,0,0,23,LOW
COL_0000215,BIN_00001,2023-12-30,residential,East Legon,29.2,low,general,3,194,0,0,17,LOW
COL_0000216,BIN_00002,2022-01-03,institutional,Kasoa,29.1,low,recyclable,3,1561,0,0,21,LOW
COL_0000217,BIN_00002,2022-01-06,institutional,Kasoa,34.0,medium,recyclable,3,1561,0,0,27,LOW
COL_0000218,BIN_00002,2022-01-09,institutional,Kasoa,16.2,low,general,3,1561,0,0,23,LOW
COL_0000219,BIN_00002,2022-01-12,institutional,Kasoa,33.5,medium,organic,3,1561,0,0,34,MEDIUM
COL_0000220,BIN_00002,2022-01-15,institutional,Kasoa,24.8,low,general,3,1561,0,0,23,LOW
COL_0000221,BIN_00002,2022-01-18,institutional,Kasoa,30.8,medium,organic,3,1561,0,0,34,MEDIUM
COL_0000222,BIN_00002,2022-01-21,institutional,Kasoa,30.3,medium,general,3,1561,0,0,29,LOW
COL_0000223,BIN_00002,2022-01-24,institutional,Kasoa,19.6,low,recyclable,3,1561,0,0,21,LOW
COL_0000224,BIN_00002,2022-01-28,institutional,Kasoa,46.6,medium,general,4,1561,0,0,33,MEDIUM
COL_0000225,BIN_00002,2022-02-02,institutional,Kasoa,33.6,medium,general,5,1561,0,0,37,MEDIUM
COL_0000226,BIN_00002,2022-02-05,institutional,Kasoa,26.7,low,organic,3,1561,0,0,28,LOW
COL_0000227,BIN_00002,2022-02-11,institutional,Kasoa,52.8,medium,recyclable,6,1561,0,0,45,MEDIUM
COL_0000228,BIN_00002,2022-02-15,institutional,Kasoa,29.3,low,recyclable,4,1561,0,0,25,LOW
COL_0000229,BIN_00002,2022-02-19,institutional,Kasoa,40.9,medium,organic,4,1561,0,0,38,MEDIUM
COL_0000230,BIN_00002,2022-02-23,institutional,Kasoa,34.5,medium,general,4,1561,0,0,33,MEDIUM
COL_0000231,BIN_00002,2022-02-26,institutional,Kasoa,27.8,low,organic,3,1561,0,0,28,LOW
COL_0000232,BIN_00002,2022-03-01,institutional,Kasoa,28.3,low,organic,3,1561,0,0,28,LOW
COL_0000233,BIN_00002,2022-03-04,institutional,Kasoa,33.5,medium,organic,3,1561,0,0,34,MEDIUM
COL_0000234,BIN_00002,2022-03-07,institutional,Kasoa,15.9,low,recyclable,3,1561,0,0,21,LOW
COL_0000235,BIN_00002,2022-03-11,institutional,Kasoa,42.2,medium,organic,4,1561,0,0,38,MEDIUM
COL_0000236,BIN_00002,2022-03-14,institutional,Kasoa,14.0,low,organic,3,1561,0,0,28,LOW
COL_0000237,BIN_00002,2022-03-17,institutional,Kasoa,30.0,low,general,3,1561,0,0,29,LOW
COL_0000238,BIN_00002,2022-03-20,institutional,Kasoa,15.9,low,recyclable,3,1561,0,0,21,LOW
COL_0000239,BIN_00002,2022-03-23,institutional,Kasoa,27.0,low,general,3,1561,0,0,23,LOW
COL_0000240,BIN_00002,2022-03-28,institutional,Kasoa,36.5,medium,organic,5,1561,0,0,42,MEDIUM
COL_0000241,BIN_00002,2022-03-31,institutional,Kasoa,29.4,low,recyclable,3,1561,0,0,21,LOW
COL_0000242,BIN_00002,2022-04-03,institutional,Kasoa,12.0,low,general,3,1561,0,0,23,LOW
COL_0000243,BIN_00002,2022-04-06,institutional,Kasoa,38.7,medium,recyclable,3,1561,0,0,27,LOW
COL_0000244,BIN_00002,2022-04-09,institutional,Kasoa,35.9,medium,recyclable,3,1561,0,0,27,LOW
COL_0000245,BIN_00002,2022-04-12,institutional,Kasoa,25.6,low,recyclable,3,1561,0,0,21,LOW
COL_0000246,BIN_00002,2022-04-15,institutional,Kasoa,26.8,low,recyclable,3,1561,0,0,21,LOW
COL_0000247,BIN_00002,2022-04-20,institutional,Kasoa,31.2,medium,recyclable,5,1561,0,0,35,MEDIUM
COL_0000248,BIN_00002,2022-04-23,institutional,Kasoa,16.8,low,organic,3,1561,0,0,28,LOW
COL_0000249,BIN_00002,2022-04-26,institutional,Kasoa,21.4,low,general,3,1561,0,0,23,LOW
COL_0000250,BIN_00002,2022-04-29,institutional,Kasoa,27.1,low,general,3,1561,0,0,23,LOW
COL_0000251,BIN_00002,2022-05-02,institutional,Kasoa,14.2,low,organic,3,1561,0,0,28,LOW
COL_0000252,BIN_00002,2022-05-07,institutional,Kasoa,26.0,low,general,5,1561,0,0,31,MEDIUM
COL_0000253,BIN_00002,2022-05-10,institutional,Kasoa,18.6,low,general,3,1561,0,0,23,LOW
COL_0000254,BIN_00002,2022-05-15,institutional,Kasoa,32.0,medium,general,5,1561,0,0,37,MEDIUM
COL_0000255,BIN_00002,2022-05-18,institutional,Kasoa,30.5,medium,recyclable,3,1561,0,0,27,LOW
COL_0000256,BIN_00002,2022-05-22,institutional,Kasoa,24.8,low,general,4,1561,0,0,27,LOW
COL_0000257,BIN_00002,2022-05-25,institutional,Kasoa,23.2,low,organic,3,1561,0,0,28,LOW
COL_0000258,BIN_00002,2022-05-28,institutional,Kasoa,17.2,low,recyclable,3,1561,0,0,21,LOW
COL_0000259,BIN_00002,2022-05-31,institutional,Kasoa,16.4,low,organic,3,1561,0,0,28,LOW
