date,temperature_c,rainfall_mm,humidity_percent,is_rainy_season,is_dry_season
2022-02-27,35.9,0.0,56.4,0,1
2022-02-28,32.2,0.0,51.7,0,1
2022-03-01,26.9,0.0,63.9,0,0
2022-03-02,27.3,0.0,68.0,0,0
2022-03-03,28.8,14.8,65.2,0,0
2022-03-04,28.2,0.0,82.8,0,0
2022-03-05,32.4,0.0,72.8,0,0
2022-03-06,27.3,0.0,78.3,0,0
2022-03-07,28.0,0.0,68.0,0,0
2022-03-08,26.6,0.0,57.8,0,0
2022-03-09,27.3,0.0,80.1,0,0
2022-03-10,28.4,0.0,73.5,0,0
2022-03-11,27.9,0.0,63.9,0,0
2022-03-12,29.1,6.3,67.2,0,0
2022-03-13,29.8,0.0,63.6,0,0
2022-03-14,28.0,0.0,68.1,0,0
2022-03-15,25.1,0.0,53.2,0,0
2022-03-16,26.2,0.0,80.9,0,0
2022-03-17,26.3,0.0,68.9,0,0
2022-03-18,26.9,0.0,64.7,0,0
2022-03-19,26.8,0.0,65.8,0,0
2022-03-20,25.8,0.0,68.6,0,0
2022-03-21,30.3,0.0,90.0,0,0
2022-03-22,25.4,0.0,54.3,0,0
2022-03-23,31.6,0.0,71.2,0,0
2022-03-24,31.5,0.0,73.1,0,0
2022-03-25,27.9,0.0,66.4,0,0
2022-03-26,27.1,0.0,71.2,0,0
2022-03-27,24.4,0.0,73.9,0,0
2022-03-28,27.0,0.0,63.1,0,0
2022-03-29,29.2,0.0,67.6,0,0
2022-03-30,26.9,0.0,69.4,0,0
2022-03-31,26.4,0.0,77.0,0,0
2022-04-01,28.4,30.2,75.6,1,0
2022-04-02,23.2,8.5,79.9,1,0
2022-04-03,27.4,11.1,72.9,1,0
2022-04-04,24.6,0.0,87.0,1,0
2022-04-05,24.9,0.0,78.5,1,0
2022-04-06,24.2,0.0,88.6,1,0
2022-04-07,26.4,0.0,68.2,1,0
2022-04-08,26.4,0.0,72.1,1,0
2022-04-09,26.9,12.7,83.8,1,0
2022-04-10,26.5,23.3,70.1,1,0
2022-04-11,30.3,0.0,88.8,1,0
2022-04-12,23.5,1.4,71.6,1,0
2022-04-13,28.5,11.6,82.9,1,0
2022-04-14,28.7,0.0,73.9,1,0
2022-04-15,24.3,1.0,83.4,1,0
2022-04-16,29.4,0.0,82.7,1,0
2022-04-17,30.0,0.0,78.5,1,0
2022-04-18,25.6,0.0,67.8,1,0
2022-04-19,28.3,0.0,78.0,1,0
2022-04-20,29.1,0.0,84.2,1,0
2022-04-21,24.9,6.3,88.8,1,0
2022-04-22,25.6,2.3,82.4,1,0
2022-04-23,27.0,0.0,83.0,1,0
2022-04-24,27.0,2.2,93.8,1,0
2022-04-25,26.6,16.7,84.3,1,0
2022-04-26,24.6,0.0,73.5,1,0
2022-04-27,31.9,0.0,82.6,1,0
2022-04-28,32.0,0.0,86.6,1,0
2022-04-29,28.7,0.0,87.4,1,0
2022-04-30,26.2,0.0,70.0,1,0
2022-05-01,25.1,1.7,77.9,1,0
2022-05-02,23.4,0.0,82.7,1,0
2022-05-03,26.9,27.3,83.9,1,0
2022-05-04,29.0,0.0,89.1,1,0
2022-05-05,24.8,0.0,87.8,1,0
2022-05-06,29.1,0.0,73.7,1,0
2022-05-07,27.0,6.0,73.4,1,0
2022-05-08,23.7,0.0,87.5,1,0
2022-05-09,27.4,0.0,75.6,1,0
2022-05-10,26.9,0.0,96.5,1,0
2022-05-11,26.0,0.0,79.4,1,0
2022-05-12,28.3,0.0,74.9,1,0
2022-05-13,28.1,9.9,69.7,1,0
2022-05-14,28.3,33.8,73.9,1,0
2022-05-15,23.2,0.0,87.4,1,0
2022-05-16,28.8,0.0,79.9,1,0
2022-05-17,23.7,0.0,77.7,1,0
2022-05-18,28.0,11.8,69.9,1,0
2022-05-19,25.0,9.5,84.7,1,0
2022-05-20,28.7,10.8,65.3,1,0
2022-05-21,26.6,19.8,72.6,1,0
2022-05-22,27.3,4.1,89.7,1,0
2022-05-23,24.5,0.8,75.0,1,0
2022-05-24,26.5,2.3,70.1,1,0
2022-05-25,23.3,0.1,73.0,1,0
2022-05-26,30.9,2.1,77.2,1,0
2022-05-27,26.3,29.2,84.6,1,0
2022-05-28,26.6,3.7,90.5,1,0
2022-05-29,27.3,8.9,73.8,1,0
2022-05-30,28.3,31.3,69.3,1,0
2022-05-31,26.1,23.5,72.0,1,0
2022-06-01,24.7,1.5,88.4,1,0
2022-06-02,28.6,0.1,81.3,1,0
2022-06-03,30.5,1.3,73.3,1,0
2022-06-04,28.2,0.0,90.3,1,0
2022-06-05,26.0,0.0,78.6,1,0
2022-06-06,24.0,0.0,80.9,1,0
2022-06-07,25.7,7.6,73.5,1,0
2022-06-08,27.9,0.0,58.9,1,0
2022-06-09,27.8,0.0,72.7,1,0
2022-06-10,25.6,9.9,86.1,1,0
2022-06-11,27.3,0.0,75.0,1,0
2022-06-12,29.6,2.1,74.3,1,0
2022-06-13,23.6,15.1,85.6,1,0
2022-06-14,26.2,33.2,87.3,1,0
2022-06-15,28.2,36.2,86.9,1,0
2022-06-16,27.8,15.5,71.7,1,0
2022-06-17,26.2,2.8,66.2,1,0
2022-06-18,28.8,0.0,82.3,1,0
2022-06-19,28.2,0.0,73.0,1,0
2022-06-20,27.7,0.0,81.1,1,0
2022-06-21,29.0,20.8,59.0,1,0
2022-06-22,25.7,0.0,83.5,1,0
2022-06-23,24.7,8.7,76.6,1,0
2022-06-24,27.3,20.1,74.3,1,0
2022-06-25,27.1,18.1,76.2,1,0
2022-06-26,27.1,2.1,95.2,1,0
2022-06-27,28.4,0.0,76.8,1,0
2022-06-28,28.6,3.7,91.7,1,0
2022-06-29,28.4,10.0,75.9,1,0
2022-06-30,27.4,0.0,84.6,1,0
2022-07-01,24.7,0.0,78.8,1,0
2022-07-02,24.4,0.8,78.6,1,0
2022-07-03,29.3,0.0,79.2,1,0
2022-07-04,26.4,0.0,79.4,1,0
2022-07-05,29.7,0.0,68.6,1,0
2022-07-06,23.5,0.0,74.9,1,0
2022-07-07,27.9,8.0,79.8,1,0
2022-07-08,27.0,7.8,72.4,1,0
2022-07-09,27.4,0.0,68.0,1,0
2022-07-10,27.9,0.0,83.1,1,0
2022-07-11,26.6,18.2,85.2,1,0
2022-07-12,24.9,0.0,72.7,1,0
2022-07-13,26.5,0.0,88.5,1,0
2022-07-14,29.6,1.9,86.3,1,0
2022-07-15,28.6,0.0,82.1,1,0
2022-07-16,26.8,0.6,80.6,1,0
2022-07-17,27.5,0.0,75.4,1,0
2022-07-18,24.7,0.0,74.9,1,0
2022-07-19,27.4,0.0,68.2,1,0
2022-07-20,27.5,50.3,69.7,1,0
2022-07-21,25.6,0.0,67.7,1,0
2022-07-22,27.5,18.1,98.0,1,0
2022-07-23,23.6,0.0,88.4,1,0
2022-07-24,27.6,0.0,84.3,1,0
2022-07-25,25.4,0.0,82.9,1,0
2022-07-26,25.7,0.0,71.5,1,0
2022-07-27,29.3,14.0,80.9,1,0
2022-07-28,27.5,0.0,74.6,1,0
2022-07-29,23.9,1.9,84.6,1,0
2022-07-30,28.2,19.9,81.4,1,0
2022-07-31,27.1,0.0,88.9,1,0
2022-08-01,28.2,0.0,62.7,0,1
2022-08-02,30.3,3.0,56.8,0,1
2022-08-03,31.3,0.0,56.1,0,1
2022-08-04,28.2,0.0,57.9,0,1
2022-08-05,33.3,0.0,47.4,0,1
2022-08-06,26.1,1.7,36.7,0,1
2022-08-07,27.0,0.0,53.7,0,1
2022-08-08,30.8,1.1,66.1,0,1
2022-08-09,23.4,0.0,50.9,0,1
2022-08-10,37.4,0.0,63.6,0,1
2022-08-11,33.2,0.0,49.4,0,1
2022-08-12,30.2,0.0,48.4,0,1
2022-08-13,30.4,0.0,57.5,0,1
2022-08-14,30.6,0.0,63.0,0,1
2022-08-15,31.1,0.0,55.5,0,1
2022-08-16,30.7,0.0,51.9,0,1
2022-08-17,25.7,0.0,52.4,0,1
2022-08-18,28.9,1.8,61.7,0,1
2022-08-19,26.4,0.0,67.1,0,1
2022-08-20,30.0,0.0,41.4,0,1
2022-08-21,29.0,0.0,56.8,0,1
2022-08-22,29.8,0.0,39.0,0,1
2022-08-23,30.3,0.0,55.6,0,1
2022-08-24,26.8,0.0,78.8,0,1
2022-08-25,27.1,0.0,60.6,0,1
2022-08-26,26.1,0.0,52.0,0,1
2022-08-27,30.4,0.0,37.6,0,1
2022-08-28,34.7,0.0,60.6,0,1
2022-08-29,30.0,0.0,63.6,0,1
2022-08-30,25.7,0.0,56.3,0,1
2022-08-31,33.3,0.0,51.2,0,1
2022-09-01,30.0,13.3,85.5,1,0
2022-09-02,24.9,0.0,84.8,1,0
2022-09-03,25.8,0.0,72.1,1,0
2022-09-04,29.8,28.4,87.8,1,0
2022-09-05,22.9,0.0,98.0,1,0
2022-09-06,25.9,0.0,82.7,1,0
2022-09-07,28.0,19.4,72.2,1,0
2022-09-08,31.0,20.5,80.5,1,0
2022-09-09,28.6,19.6,79.9,1,0
2022-09-10,24.2,15.7,78.1,1,0
2022-09-11,26.2,6.9,65.0,1,0
2022-09-12,23.3,0.0,86.3,1,0
2022-09-13,26.1,7.4,98.0,1,0
2022-09-14,25.6,1.5,78.0,1,0
2022-09-15,27.0,0.0,79.8,1,0
2022-09-16,27.1,21.9,87.8,1,0
2022-09-17,26.9,23.3,86.4,1,0
2022-09-18,28.4,0.0,82.6,1,0
2022-09-19,26.4,12.5,75.9,1,0
2022-09-20,24.7,0.0,66.1,1,0
2022-09-21,26.0,46.8,79.0,1,0
2022-09-22,26.6,10.2,75.3,1,0
2022-09-23,27.0,53.7,78.6,1,0
2022-09-24,26.1,7.4,72.0,1,0
2022-09-25,24.8,19.6,85.2,1,0
2022-09-26,21.7,3.1,80.1,1,0
2022-09-27,28.9,6.0,81.1,1,0
2022-09-28,26.5,37.4,72.7,1,0
2022-09-29,26.9,3.2,88.2,1,0
2022-09-30,28.8,29.9,79.3,1,0
2022-10-01,28.4,0.0,77.7,1,0
2022-10-02,29.4,27.1,90.0,1,0
2022-10-03,29.8,0.0,92.8,1,0
2022-10-04,29.8,1.0,81.5,1,0
2022-10-05,25.0,1.6,63.2,1,0
2022-10-06,25.3,20.5,80.6,1,0
2022-10-07,29.0,0.0,70.3,1,0
2022-10-08,26.8,0.0,79.8,1,0
2022-10-09,27.1,12.5,78.6,1,0
2022-10-10,26.3,13.8,80.0,1,0
2022-10-11,30.5,6.3,79.0,1,0
2022-10-12,27.5,1.3,69.2,1,0
2022-10-13,29.3,1.2,88.1,1,0
2022-10-14,23.8,0.0,63.7,1,0
2022-10-15,29.3,0.0,70.8,1,0
2022-10-16,24.1,1.5,74.3,1,0
2022-10-17,26.5,0.0,72.0,1,0
2022-10-18,27.6,16.7,85.6,1,0
2022-10-19,29.3,0.0,84.1,1,0
2022-10-20,26.5,0.0,88.2,1,0
2022-10-21,27.8,8.9,75.8,1,0
2022-10-22,25.0,0.0,74.7,1,0
2022-10-23,27.2,0.0,87.2,1,0
2022-10-24,28.6,0.0,74.9,1,0
2022-10-25,25.6,0.0,80.0,1,0
2022-10-26,24.6,0.0,83.6,1,0
2022-10-27,27.6,0.0,96.0,1,0
2022-10-28,28.2,1.7,80.9,1,0
2022-10-29,28.1,0.0,72.7,1,0
2022-10-30,27.6,72.1,84.2,1,0
2022-10-31,28.5,15.7,75.8,1,0
2022-11-01,28.6,8.8,91.0,1,0
2022-11-02,29.3,37.7,81.6,1,0
2022-11-03,30.5,0.0,63.1,1,0
2022-11-04,28.0,0.0,80.7,1,0
2022-11-05,26.1,5.3,80.2,1,0
2022-11-06,25.4,3.2,85.4,1,0
2022-11-07,26.2,0.0,74.0,1,0
2022-11-08,28.5,0.0,86.9,1,0
2022-11-09,28.1,6.1,77.4,1,0
2022-11-10,25.2,0.0,81.6,1,0
2022-11-11,29.6,3.0,75.9,1,0
2022-11-12,25.2,1.2,86.8,1,0
2022-11-13,30.1,46.3,88.8,1,0
2022-11-14,27.8,0.0,85.5,1,0
2022-11-15,28.6,2.3,70.1,1,0
2022-11-16,23.6,0.0,75.5,1,0
2022-11-17,27.0,0.0,75.8,1,0
2022-11-18,27.3,17.3,78.0,1,0
2022-11-19,30.8,0.0,79.0,1,0
2022-11-20,24.4,0.0,73.7,1,0
2022-11-21,25.2,23.9,85.8,1,0
2022-11-22,31.1,0.0,85.2,1,0
2022-11-23,28.5,0.0,97.7,1,0
2022-11-24,28.6,7.8,91.2,1,0
2022-11-25,26.9,0.0,66.0,1,0
2022-11-26,26.0,18.4,73.8,1,0
2022-11-27,25.8,33.3,68.9,1,0
2022-11-28,24.8,49.4,77.8,1,0
2022-11-29,27.4,0.0,80.3,1,0
2022-11-30,27.2,12.3,77.9,1,0
2022-12-01,27.3,0.0,41.9,0,1
2022-12-02,31.1,0.5,52.2,0,1
2022-12-03,31.1,0.0,64.9,0,1
2022-12-04,30.6,0.0,40.5,0,1
2022-12-05,28.5,0.0,77.6,0,1
2022-12-06,31.9,0.0,57.7,0,1
2022-12-07,29.0,0.0,56.9,0,1
2022-12-08,28.8,0.0,60.4,0,1
2022-12-09,26.7,0.0,48.2,0,1
2022-12-10,30.0,6.3,66.1,0,1
2022-12-11,31.0,0.0,55.8,0,1
2022-12-12,30.7,0.0,34.1,0,1
2022-12-13,33.2,0.0,67.1,0,1
2022-12-14,32.6,0.0,63.4,0,1
2022-12-15,24.4,0.0,53.5,0,1
2022-12-16,31.9,0.0,51.4,0,1
2022-12-17,25.5,0.0,71.6,0,1
2022-12-18,31.5,0.0,50.2,0,1
2022-12-19,26.1,0.0,67.6,0,1
2022-12-20,24.2,0.0,75.3,0,1
2022-12-21,30.6,0.0,55.6,0,1
2022-12-22,29.5,0.0,49.2,0,1
2022-12-23,36.4,0.0,55.4,0,1
2022-12-24,30.0,0.0,65.8,0,1
2022-12-25,33.8,0.0,45.8,0,1
2022-12-26,27.8,0.0,42.1,0,1
2022-12-27,32.7,0.0,70.3,0,1
2022-12-28,32.4,7.3,52.9,0,1
2022-12-29,29.6,0.0,64.1,0,1
2022-12-30,22.2,0.0,75.6,0,1
2022-12-31,28.1,4.6,60.9,0,1
2023-01-01,30.5,0.0,50.8,0,1
2023-01-02,32.9,0.0,72.4,0,1
2023-01-03,28.1,0.0,45.3,0,1
2023-01-04,33.5,0.0,61.4,0,1
2023-01-05,29.4,0.0,49.3,0,1
2023-01-06,33.9,0.0,52.5,0,1
2023-01-07,29.8,0.0,47.4,0,1
2023-01-08,28.3,0.0,39.9,0,1
2023-01-09,31.5,0.0,41.2,0,1
2023-01-10,30.0,0.0,46.1,0,1
2023-01-11,27.5,0.0,61.0,0,1
2023-01-12,26.0,0.0,51.9,0,1
2023-01-13,25.5,0.0,35.9,0,1
2023-01-14,26.4,6.5,55.7,0,1
2023-01-15,24.0,0.0,63.5,0,1
2023-01-16,33.8,0.0,50.2,0,1
2023-01-17,33.9,0.0,50.3,0,1
2023-01-18,32.6,8.9,58.4,0,1
2023-01-19,35.8,0.0,67.9,0,1
2023-01-20,31.7,0.0,51.3,0,1
2023-01-21,30.0,0.0,51.2,0,1
2023-01-22,25.2,0.0,47.2,0,1
2023-01-23,31.8,0.0,49.1,0,1
2023-01-24,25.1,0.0,48.6,0,1
2023-01-25,35.4,0.0,53.5,0,1
2023-01-26,25.3,0.0,69.6,0,1
2023-01-27,28.6,0.0,41.0,0,1
2023-01-28,28.1,0.0,63.3,0,1
2023-01-29,27.9,0.0,43.4,0,1
2023-01-30,25.7,0.0,51.8,0,1
2023-01-31,27.0,0.0,63.1,0,1
2023-02-01,32.8,0.0,57.2,0,1
2023-02-02,34.2,4.0,58.7,0,1
2023-02-03,29.8,0.1,66.5,0,1
2023-02-04,26.6,0.0,52.2,0,1
2023-02-05,27.4,0.0,60.6,0,1
2023-02-06,26.6,0.0,53.2,0,1
2023-02-07,31.7,0.0,67.0,0,1
2023-02-08,31.7,0.0,58.4,0,1
2023-02-09,28.3,0.0,58.4,0,1
2023-02-10,26.4,0.0,58.2,0,1
2023-02-11,28.7,0.0,50.8,0,1
2023-02-12,27.8,0.0,54.4,0,1
2023-02-13,28.0,0.0,56.5,0,1
2023-02-14,36.7,0.0,71.4,0,1
2023-02-15,25.6,0.0,61.9,0,1
2023-02-16,34.2,4.6,55.5,0,1
2023-02-17,28.7,1.9,58.8,0,1
2023-02-18,26.8,0.0,57.6,0,1
2023-02-19,36.5,0.0,66.4,0,1
2023-02-20,34.1,0.0,50.1,0,1
2023-02-21,30.6,0.0,65.9,0,1
2023-02-22,27.6,0.0,51.4,0,1
2023-02-23,26.7,0.0,63.7,0,1
2023-02-24,35.6,0.0,66.6,0,1
2023-02-25,34.4,0.0,56.8,0,1
2023-02-26,26.2,0.3,57.6,0,1
2023-02-27,33.2,0.0,60.7,0,1
2023-02-28,30.2,0.0,48.3,0,1
2023-03-01,30.5,0.0,73.2,0,0
2023-03-02,26.3,3.6,76.2,0,0
2023-03-03,29.5,0.0,66.4,0,0
2023-03-04,28.9,0.0,68.5,0,0
2023-03-05,26.3,0.0,68.1,0,0
2023-03-06,29.3,0.0,56.9,0,0
2023-03-07,29.9,0.0,76.9,0,0
2023-03-08,29.9,0.0,66.2,0,0
2023-03-09,22.9,0.0,71.5,0,0
2023-03-10,24.0,0.0,60.5,0,0
2023-03-11,26.2,0.0,71.8,0,0
2023-03-12,25.2,0.0,81.3,0,0
2023-03-13,28.4,0.0,71.9,0,0
2023-03-14,29.3,0.0,62.8,0,0
2023-03-15,26.3,0.0,66.3,0,0
2023-03-16,31.2,0.0,66.0,0,0
2023-03-17,25.6,0.0,62.3,0,0
2023-03-18,27.9,0.0,59.3,0,0
2023-03-19,28.1,0.0,63.6,0,0
2023-03-20,32.2,0.0,68.2,0,0
2023-03-21,30.5,0.0,69.3,0,0
2023-03-22,26.0,0.0,69.7,0,0
2023-03-23,28.3,0.0,81.3,0,0
2023-03-24,29.7,0.0,73.4,0,0
2023-03-25,29.5,0.0,76.1,0,0
2023-03-26,29.7,0.0,64.9,0,0
2023-03-27,25.5,0.0,82.2,0,0
2023-03-28,28.7,8.4,86.1,0,0
2023-03-29,27.6,0.0,71.6,0,0
2023-03-30,28.3,0.0,78.3,0,0
2023-03-31,25.1,0.0,63.6,0,0
2023-04-01,27.8,2.6,87.2,1,0
2023-04-02,26.8,12.6,74.8,1,0
2023-04-03,29.7,13.5,75.0,1,0
2023-04-04,26.7,5.1,80.1,1,0
2023-04-05,25.7,0.0,86.0,1,0
2023-04-06,26.9,0.0,72.8,1,0
2023-04-07,24.8,7.1,94.4,1,0
2023-04-08,23.0,0.0,80.8,1,0
2023-04-09,30.5,0.0,74.3,1,0
2023-04-10,26.5,1.2,88.9,1,0
2023-04-11,30.7,0.0,88.1,1,0
2023-04-12,25.3,6.5,75.8,1,0
2023-04-13,27.8,19.2,73.4,1,0
2023-04-14,24.3,31.5,70.9,1,0
2023-04-15,29.0,0.0,77.1,1,0
2023-04-16,29.7,34.0,71.7,1,0
2023-04-17,24.9,0.0,61.9,1,0
2023-04-18,25.9,0.0,85.3,1,0
2023-04-19,23.8,0.0,69.4,1,0
2023-04-20,23.8,0.0,70.7,1,0
2023-04-21,27.6,0.2,74.6,1,0
2023-04-22,27.7,0.0,70.9,1,0
2023-04-23,26.5,0.0,82.7,1,0
2023-04-24,28.6,0.0,76.6,1,0
2023-04-25,25.5,0.0,78.7,1,0
2023-04-26,28.5,29.9,69.3,1,0
2023-04-27,28.2,0.3,67.6,1,0
2023-04-28,29.1,0.0,85.4,1,0
2023-04-29,26.7,0.0,71.2,1,0
2023-04-30,26.4,9.3,64.9,1,0
2023-05-01,26.8,7.8,87.9,1,0
2023-05-02,26.3,8.6,79.8,1,0
2023-05-03,25.4,7.4,96.8,1,0
2023-05-04,27.3,0.2,79.3,1,0
2023-05-05,28.3,38.1,75.3,1,0
2023-05-06,27.4,4.5,88.2,1,0
2023-05-07,25.0,0.5,61.4,1,0
2023-05-08,28.3,0.6,98.0,1,0
2023-05-09,27.0,0.0,81.6,1,0
2023-05-10,25.8,5.8,79.5,1,0
2023-05-11,27.9,51.5,87.9,1,0
2023-05-12,26.7,0.0,64.2,1,0
2023-05-13,28.0,0.0,80.2,1,0
2023-05-14,26.5,0.0,78.6,1,0
2023-05-15,27.9,5.9,75.9,1,0
2023-05-16,27.5,23.0,76.9,1,0
2023-05-17,25.4,0.0,81.3,1,0
2023-05-18,26.9,20.9,73.8,1,0
2023-05-19,27.2,21.7,86.8,1,0
2023-05-20,28.7,0.0,85.9,1,0
2023-05-21,32.1,14.7,72.0,1,0
2023-05-22,28.7,1.2,82.2,1,0
2023-05-23,29.1,4.9,69.6,1,0
2023-05-24,27.7,5.8,89.9,1,0
2023-05-25,25.2,0.0,88.0,1,0
2023-05-26,21.2,0.0,79.8,1,0
2023-05-27,25.1,0.0,82.6,1,0
2023-05-28,28.0,0.0,77.8,1,0
2023-05-29,29.2,1.6,75.6,1,0
2023-05-30,27.2,7.6,82.5,1,0
2023-05-31,26.2,9.8,73.6,1,0
2023-06-01,24.4,4.4,79.1,1,0
2023-06-02,28.6,0.0,86.4,1,0
2023-06-03,26.3,9.4,84.3,1,0
2023-06-04,28.8,0.0,72.7,1,0
2023-06-05,26.5,8.7,83.9,1,0
2023-06-06,26.1,0.0,91.9,1,0
2023-06-07,26.5,1.6,81.5,1,0
2023-06-08,27.1,0.0,77.9,1,0
2023-06-09,30.1,0.0,61.6,1,0
2023-06-10,28.2,12.6,76.6,1,0
2023-06-11,28.5,21.7,64.5,1,0
2023-06-12,28.2,2.3,77.3,1,0
2023-06-13,25.3,0.0,84.1,1,0
2023-06-14,27.1,0.0,77.5,1,0
2023-06-15,32.5,5.8,67.6,1,0
2023-06-16,29.5,0.0,78.2,1,0
2023-06-17,24.3,60.4,93.0,1,0
2023-06-18,25.7,0.0,88.7,1,0
2023-06-19,23.6,0.0,72.8,1,0
2023-06-20,23.0,0.0,64.8,1,0
2023-06-21,27.4,21.6,75.5,1,0
2023-06-22,27.1,0.0,88.3,1,0
2023-06-23,27.2,49.0,85.0,1,0
2023-06-24,25.6,0.0,80.6,1,0
2023-06-25,28.8,0.0,81.6,1,0
2023-06-26,27.5,0.0,79.3,1,0
2023-06-27,24.1,16.6,87.2,1,0
2023-06-28,26.8,0.0,78.3,1,0
2023-06-29,22.0,8.7,75.9,1,0
2023-06-30,25.5,16.6,86.9,1,0
2023-07-01,27.2,5.8,82.8,1,0
2023-07-02,26.3,0.0,84.0,1,0
2023-07-03,24.4,0.0,76.5,1,0
2023-07-04,28.6,1.5,89.8,1,0
2023-07-05,30.0,0.9,97.0,1,0
2023-07-06,27.1,0.0,70.7,1,0
2023-07-07,25.1,2.0,65.1,1,0
2023-07-08,30.1,0.0,88.3,1,0
2023-07-09,31.0,2.7,86.3,1,0
2023-07-10,25.1,0.0,84.2,1,0
2023-07-11,25.0,16.0,86.2,1,0
2023-07-12,24.5,0.0,76.4,1,0
2023-07-13,27.3,1.7,79.0,1,0
2023-07-14,27.4,8.2,95.5,1,0
2023-07-15,24.9,6.8,72.9,1,0
2023-07-16,28.6,0.0,71.1,1,0
2023-07-17,30.1,0.0,80.1,1,0
2023-07-18,30.7,33.8,90.0,1,0
2023-07-19,27.0,0.0,79.4,1,0
2023-07-20,29.8,0.0,96.5,1,0
2023-07-21,26.5,17.6,81.8,1,0
2023-07-22,28.9,9.5,68.3,1,0
2023-07-23,32.3,10.3,81.1,1,0
2023-07-24,25.9,8.5,78.3,1,0
2023-07-25,27.5,17.5,62.3,1,0
2023-07-26,26.2,1.9,86.0,1,0
2023-07-27,25.0,15.9,96.8,1,0
2023-07-28,27.4,19.9,70.8,1,0
2023-07-29,25.0,8.5,85.6,1,0
2023-07-30,27.8,29.6,82.8,1,0
2023-07-31,27.2,21.0,81.3,1,0
2023-08-01,31.4,0.0,61.2,0,1
2023-08-02,28.7,0.0,59.7,0,1
2023-08-03,35.9,0.0,50.4,0,1
2023-08-04,29.2,0.0,49.7,0,1
2023-08-05,29.8,0.0,57.0,0,1
2023-08-06,31.0,11.6,65.8,0,1
2023-08-07,33.2,0.0,56.7,0,1
2023-08-08,31.5,0.0,63.7,0,1
2023-08-09,26.2,4.4,44.2,0,1
2023-08-10,32.4,0.0,59.5,0,1
2023-08-11,29.3,0.3,55.2,0,1
2023-08-12,28.8,0.0,57.1,0,1
2023-08-13,31.6,0.0,51.5,0,1
2023-08-14,27.3,0.0,60.2,0,1
2023-08-15,31.4,0.0,41.8,0,1
2023-08-16,30.5,0.0,30.0,0,1
2023-08-17,32.6,0.0,48.3,0,1
2023-08-18,26.6,0.0,63.3,0,1
2023-08-19,26.1,0.0,57.6,0,1
2023-08-20,31.7,0.0,54.9,0,1
2023-08-21,23.7,0.0,53.5,0,1
2023-08-22,32.4,0.0,62.0,0,1
2023-08-23,32.7,0.0,67.7,0,1
2023-08-24,27.1,0.0,64.5,0,1
2023-08-25,25.1,0.0,49.8,0,1
2023-08-26,29.3,0.0,57.3,0,1
2023-08-27,28.3,0.0,54.9,0,1
2023-08-28,31.2,0.0,58.8,0,1
