collection_id,bin_id,collection_date,collection_time,day_of_week,is_holiday,holiday_name,is_festival_period,festival_name,days_since_last_collection,fill_level_percent,fill_level_category,waste_weight_kg,waste_type_primary,waste_composition_json,odor_complaint,overflow_reported,collector_notes,temperature_c,rainfall_mm,humidity_percent
COL_0000013,BIN_00001,2022-02-11,07:38,Friday,0,,0,,4,23.5,low,11.01,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.6,0.0,48.5
COL_0000014,BIN_00001,2022-02-14,15:57,Monday,0,,0,,3,21.9,low,5.71,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.1,0.0,50.7
COL_0000015,BIN_00001,2022-02-17,16:05,Thursday,0,,0,,3,23.3,low,8.31,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.4,0.0,52.3
COL_0000016,BIN_00001,2022-02-20,06:49,Sunday,0,,0,,3,17.3,low,5.98,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,Graffiti on bin,27.5,0.0,62.8
COL_0000017,BIN_00001,2022-02-23,09:22,Wednesday,0,,0,,3,23.7,low,14.27,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.1,0.0,39.2
COL_0000018,BIN_00001,2022-02-27,17:18,Sunday,0,,0,,4,35.2,medium,17.09,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,35.9,0.0,56.4
COL_0000019,BIN_00001,2022-03-02,15:18,Wednesday,0,,0,,3,17.8,low,10.68,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.3,0.0,68.0
COL_0000020,BIN_00001,2022-03-05,08:10,Saturday,0,,0,,3,16.1,low,10.32,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,32.4,0.0,72.8
COL_0000021,BIN_00001,2022-03-08,15:34,Tuesday,0,,0,,3,20.9,low,12.17,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.6,0.0,57.8
COL_0000022,BIN_00001,2022-03-11,06:43,Friday,0,,0,,3,25.6,low,6.41,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.9,0.0,63.9
COL_0000023,BIN_00001,2022-03-14,13:07,Monday,0,,0,,3,26.2,low,12.12,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.0,0.0,68.1
COL_0000024,BIN_00001,2022-03-17,11:04,Thursday,0,,0,,3,20.7,low,7.18,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.3,0.0,68.9
COL_0000025,BIN_00001,2022-03-20,16:15,Sunday,0,,0,,3,27.5,low,13.79,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.8,0.0,68.6
COL_0000026,BIN_00001,2022-03-24,13:24,Thursday,0,,0,,4,25.8,low,5.77,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,31.5,0.0,73.1
COL_0000027,BIN_00001,2022-03-28,07:29,Monday,0,,0,,4,29.8,low,13.57,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.0,0.0,63.1
COL_0000028,BIN_00001,2022-03-31,06:29,Thursday,0,,0,,3,17.4,low,10.47,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.4,0.0,77.0
COL_0000029,BIN_00001,2022-04-04,09:37,Monday,0,,1,Easter,4,29.7,low,10.74,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,24.6,0.0,87.0
COL_0000030,BIN_00001,2022-04-11,17:07,Monday,0,,1,Easter,7,49.8,medium,24.34,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.3,0.0,88.8
COL_0000031,BIN_00001,2022-04-14,09:39,Thursday,0,,0,,3,17.5,low,7.63,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.7,0.0,73.9
COL_0000032,BIN_00001,2022-04-19,14:27,Tuesday,0,,0,,5,24.7,low,12.61,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.3,0.0,78.0
COL_0000033,BIN_00001,2022-04-22,13:48,Friday,0,,0,,3,15.1,low,9.94,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.6,2.3,82.4
COL_0000034,BIN_00001,2022-04-25,06:53,Monday,0,,0,,3,22.4,low,15.85,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.6,16.7,84.3
COL_0000035,BIN_00001,2022-04-29,06:57,Friday,0,,0,,4,23.2,low,11.04,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.7,0.0,87.4
COL_0000036,BIN_00001,2022-05-03,13:16,Tuesday,0,,0,,4,26.0,low,12.59,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.9,27.3,83.9
COL_0000037,BIN_00001,2022-05-06,16:58,Friday,0,,0,,3,17.7,low,9.08,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.1,0.0,73.7
COL_0000038,BIN_00001,2022-05-10,10:12,Tuesday,0,,0,,4,26.4,low,15.1,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.9,0.0,96.5
COL_0000039,BIN_00001,2022-05-13,12:14,Friday,0,,0,,3,16.5,low,7.79,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.1,9.9,69.7
COL_0000040,BIN_00001,2022-05-16,17:32,Monday,0,,0,,3,13.8,low,9.5,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.8,0.0,79.9
COL_0000041,BIN_00001,2022-05-19,16:48,Thursday,0,,0,,3,17.3,low,9.42,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.0,9.5,84.7
COL_0000042,BIN_00001,2022-05-22,14:52,Sunday,0,,0,,3,18.8,low,9.44,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.3,4.1,89.7
COL_0000043,BIN_00001,2022-05-25,07:45,Wednesday,0,,0,,3,20.5,low,10.53,hazardous,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 14.8, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,23.3,0.1,73.0
COL_0000044,BIN_00001,2022-05-28,14:35,Saturday,0,,0,,3,20.3,low,10.37,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.6,3.7,90.5
COL_0000045,BIN_00001,2022-05-31,16:44,Tuesday,0,,0,,3,10.6,low,3.46,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.1,23.5,72.0
COL_0000046,BIN_00001,2022-06-03,15:07,Friday,0,,0,,3,17.9,low,11.38,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.5,1.3,73.3
COL_0000047,BIN_00001,2022-06-07,13:37,Tuesday,0,,0,,4,24.3,low,16.86,construction,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 14.0}",0,0,,25.7,7.6,73.5
COL_0000048,BIN_00001,2022-06-11,08:42,Saturday,0,,0,,4,26.2,low,9.76,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,Access blocked by vehicles,27.3,0.0,75.0
COL_0000049,BIN_00001,2022-06-14,13:36,Tuesday,0,,0,,3,17.6,low,5.2,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.2,33.2,87.3
COL_0000050,BIN_00001,2022-06-17,14:03,Friday,0,,0,,3,20.5,low,10.82,hazardous,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 14.8, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.2,2.8,66.2
COL_0000051,BIN_00001,2022-06-21,12:17,Tuesday,0,,0,,4,23.2,low,7.37,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.0,20.8,59.0
COL_0000052,BIN_00001,2022-06-24,16:10,Friday,0,,0,,3,17.5,low,4.15,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,Access blocked by vehicles,27.3,20.1,74.3
COL_0000053,BIN_00001,2022-06-27,15:39,Monday,0,,0,,3,23.7,low,14.37,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.4,0.0,76.8
COL_0000054,BIN_00001,2022-06-30,11:29,Thursday,0,,0,,3,18.7,low,9.72,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.4,0.0,84.6
COL_0000055,BIN_00001,2022-07-03,17:27,Sunday,0,,0,,3,19.3,low,9.8,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.3,0.0,79.2
COL_0000056,BIN_00001,2022-07-06,13:57,Wednesday,0,,0,,3,20.4,low,8.38,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,23.5,0.0,74.9
COL_0000057,BIN_00001,2022-07-09,14:42,Saturday,0,,0,,3,15.6,low,11.13,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.4,0.0,68.0
COL_0000058,BIN_00001,2022-07-12,08:56,Tuesday,0,,0,,3,15.5,low,3.69,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,24.9,0.0,72.7
COL_0000059,BIN_00001,2022-07-15,13:24,Friday,0,,0,,3,12.5,low,7.76,hazardous,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 14.8, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.6,0.0,82.1
COL_0000060,BIN_00001,2022-07-18,14:16,Monday,0,,0,,3,19.2,low,8.46,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,24.7,0.0,74.9
COL_0000061,BIN_00001,2022-07-21,13:13,Thursday,0,,0,,3,21.4,low,8.49,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.6,0.0,67.7
COL_0000062,BIN_00001,2022-07-24,06:31,Sunday,0,,0,,3,16.5,low,10.28,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.6,0.0,84.3
COL_0000063,BIN_00001,2022-07-27,08:43,Wednesday,0,,0,,3,16.7,low,3.91,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.3,14.0,80.9
COL_0000064,BIN_00001,2022-07-30,12:26,Saturday,0,,0,,3,16.7,low,7.79,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.2,19.9,81.4
COL_0000065,BIN_00001,2022-08-02,13:21,Tuesday,0,,0,,3,17.2,low,9.69,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.3,3.0,56.8
COL_0000066,BIN_00001,2022-08-07,07:35,Sunday,0,,0,,5,33.0,medium,16.25,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.0,0.0,53.7
COL_0000067,BIN_00001,2022-08-10,12:16,Wednesday,0,,0,,3,21.4,low,14.93,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,37.4,0.0,63.6
COL_0000068,BIN_00001,2022-08-13,10:07,Saturday,0,,0,,3,26.7,low,12.21,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,Normal collection,30.4,0.0,57.5
COL_0000069,BIN_00001,2022-08-17,06:44,Wednesday,0,,0,,4,31.1,medium,14.29,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.7,0.0,52.4
COL_0000070,BIN_00001,2022-08-21,13:31,Sunday,0,,0,,4,30.1,medium,15.34,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.0,0.0,56.8
COL_0000071,BIN_00001,2022-08-24,16:03,Wednesday,0,,0,,3,23.7,low,6.22,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.8,0.0,78.8
COL_0000072,BIN_00001,2022-08-27,15:39,Saturday,0,,0,,3,30.3,medium,14.88,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.4,0.0,37.6
COL_0000073,BIN_00001,2022-08-30,16:48,Tuesday,0,,0,,3,30.5,medium,14.16,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.7,0.0,56.3
COL_0000074,BIN_00001,2022-09-02,09:39,Friday,0,,0,,3,14.1,low,6.95,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,24.9,0.0,84.8
COL_0000075,BIN_00001,2022-09-05,12:50,Monday,0,,0,,3,14.7,low,7.68,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,22.9,0.0,98.0
COL_0000076,BIN_00001,2022-09-08,17:14,Thursday,0,,0,,3,16.5,low,7.53,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,31.0,20.5,80.5
COL_0000077,BIN_00001,2022-09-11,16:22,Sunday,0,,0,,3,17.7,low,5.69,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.2,6.9,65.0
COL_0000078,BIN_00001,2022-09-14,16:08,Wednesday,0,,0,,3,13.0,low,6.01,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.6,1.5,78.0
COL_0000079,BIN_00001,2022-09-17,06:34,Saturday,0,,0,,3,17.7,low,12.46,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.9,23.3,86.4
COL_0000080,BIN_00001,2022-09-20,10:49,Tuesday,0,,0,,3,13.6,low,6.83,e_waste,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 14.8, ""construction"": 0.9}",0,0,,24.7,0.0,66.1
COL_0000081,BIN_00001,2022-09-23,12:32,Friday,0,,0,,3,15.1,low,9.06,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.0,53.7,78.6
COL_0000082,BIN_00001,2022-09-27,11:06,Tuesday,0,,0,,4,18.8,low,5.08,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.9,6.0,81.1
COL_0000083,BIN_00001,2022-09-30,13:20,Friday,0,,0,,3,10.0,low,4.61,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.8,29.9,79.3
COL_0000084,BIN_00001,2022-10-03,15:47,Monday,0,,0,,3,21.7,low,7.67,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.8,0.0,92.8
COL_0000085,BIN_00001,2022-10-07,17:15,Friday,0,,0,,4,21.3,low,14.88,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,29.0,0.0,70.3
COL_0000086,BIN_00001,2022-10-10,13:06,Monday,0,,0,,3,16.9,low,7.02,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.3,13.8,80.0
COL_0000087,BIN_00001,2022-10-14,11:04,Friday,0,,0,,4,24.1,low,15.51,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,23.8,0.0,63.7
COL_0000088,BIN_00001,2022-10-17,09:59,Monday,0,,0,,3,24.0,low,8.21,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.5,0.0,72.0
COL_0000089,BIN_00001,2022-10-20,06:05,Thursday,0,,0,,3,22.0,low,11.73,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.5,0.0,88.2
COL_0000090,BIN_00001,2022-10-23,17:18,Sunday,0,,0,,3,17.7,low,4.66,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,27.2,0.0,87.2
COL_0000091,BIN_00001,2022-10-28,17:22,Friday,0,,0,,5,26.1,low,9.85,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.2,1.7,80.9
COL_0000092,BIN_00001,2022-10-31,15:57,Monday,0,,0,,3,19.2,low,7.73,general,"{""organic"": 39.1, ""recyclable"": 17.4, ""general"": 39.2, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.5,15.7,75.8
COL_0000093,BIN_00001,2022-11-04,17:10,Friday,0,,0,,4,20.5,low,6.85,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,28.0,0.0,80.7
COL_0000094,BIN_00001,2022-11-07,15:16,Monday,0,,0,,3,20.2,low,10.0,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,26.2,0.0,74.0
COL_0000095,BIN_00001,2022-11-10,09:02,Thursday,0,,0,,3,15.6,low,10.19,organic,"{""organic"": 52.2, ""recyclable"": 17.4, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,25.2,0.0,81.6
COL_0000096,BIN_00001,2022-11-13,14:12,Sunday,0,,0,,3,19.1,low,6.85,recyclable,"{""organic"": 39.1, ""recyclable"": 30.5, ""general"": 26.1, ""hazardous"": 1.7, ""e_waste"": 1.7, ""construction"": 0.9}",0,0,,30.1,46.3,88.8
