bin_id,location_type,district,capacity_liters,bin_material,has_lid,nearby_population,distance_to_depot_km,road_accessibility,installation_date,latitude,longitude
BIN_00044,commercial,Teshie-Nungua,660,metal,1,776,6.82,difficult,2015-02-08,5.589512,-0.196285
BIN_00045,commercial,Airport Residential,240,plastic,1,503,9.71,easy,2015-07-09,5.584036,-0.122354
BIN_00046,residential,Accra Central,120,metal,1,585,1.22,difficult,2015-07-22,5.667059,-0.196513
BIN_00047,market,Osu,1100,concrete,0,1636,4.14,moderate,2016-04-15,5.527271,-0.187282
BIN_00048,hospitality,La,240,plastic,1,218,8.82,easy,2016-06-23,5.532438,0.04155
BIN_00049,hospitality,Kasoa,240,plastic,1,626,11.25,easy,2016-01-25,5.671968,-0.040513
BIN_00050,market,Tema,660,plastic,0,1094,6.7,moderate,2021-01-02,5.677964,-0.230362
BIN_00051,commercial,Kaneshie,660,plastic,1,300,1.18,easy,2016-02-09,5.52902,0.005358
BIN_00052,institutional,Kaneshie,660,plastic,1,1808,4.79,easy,2021-11-09,5.540666,0.034837
BIN_00053,market,Airport Residential,1100,concrete,1,820,3.2,easy,2016-03-13,5.643571,-0.108346
BIN_00054,institutional,Kasoa,660,metal,1,1514,13.76,easy,2018-06-06,5.61925,-0.047654
BIN_00055,residential,Kasoa,120,metal,0,425,14.66,easy,2020-07-10,5.575721,-0.110383
BIN_00056,industrial,Spintex,660,concrete,1,249,7.13,moderate,2020-02-19,5.593462,0.043411
BIN_00057,commercial,East Legon,240,plastic,1,440,7.14,easy,2020-06-17,5.542212,-0.068511
BIN_00058,residential,La,120,metal,1,489,8.42,easy,2017-10-25,5.575213,-0.165286
BIN_00059,residential,Kasoa,120,plastic,1,294,14.04,moderate,2021-04-15,5.596983,-0.053031
BIN_00060,commercial,Achimota,1100,metal,1,844,16.98,easy,2015-10-30,5.579276,-0.120107
BIN_00061,market,Adenta,1100,concrete,1,869,9.6,moderate,2017-07-07,5.601868,-0.104403
BIN_00062,residential,Dansoman,120,plastic,1,473,4.64,moderate,2018-07-20,5.553832,-0.171926
BIN_00063,residential,Accra Central,120,plastic,1,431,3.4,moderate,2019-02-02,5.613895,-0.034005
BIN_00064,commercial,Madina,660,metal,0,823,5.2,easy,2020-06-12,5.616924,-0.201715
BIN_00065,residential,Kasoa,120,plastic,0,162,17.67,easy,2018-03-06,5.532837,-0.106911
BIN_00066,commercial,Teshie-Nungua,1100,plastic,1,1120,3.05,difficult,2019-06-18,5.547342,-0.059348
BIN_00067,hospitality,Kaneshie,660,metal,0,292,5.84,moderate,2016-12-24,5.601218,-0.200005
BIN_00068,residential,Dansoman,240,plastic,1,567,5.89,moderate,2017-06-20,5.573857,-0.235643
BIN_00069,residential,Spintex,120,plastic,1,155,3.02,easy,2020-04-27,5.616976,-0.017884
BIN_00070,residential,Ashaiman,240,metal,1,588,11.45,easy,2019-04-20,5.668232,-0.041873
BIN_00071,residential,East Legon,120,plastic,1,115,4.48,moderate,2015-03-19,5.60369,-0.161586
BIN_00072,institutional,Osu,660,metal,1,1819,4.12,moderate,2016-07-28,5.600435,-0.20337
BIN_00073,institutional,Adenta,660,metal,1,1177,13.18,easy,2018-04-17,5.573585,-0.23404
BIN_00074,industrial,East Legon,1100,concrete,1,209,9.77,moderate,2017-08-08,5.5429,-0.2125
BIN_00075,industrial,Ashaiman,1100,metal,1,116,10.62,easy,2020-08-24,5.647567,-0.230527
BIN_00076,residential,Spintex,240,plastic,1,326,9.45,moderate,2019-08-11,5.549056,0.019789
BIN_00077,commercial,La,660,metal,1,929,4.25,easy,2019-06-28,5.65954,0.027599
BIN_00078,commercial,Teshie-Nungua,660,metal,1,980,6.37,easy,2015-02-20,5.637831,0.028341
BIN_00079,hospitality,Adenta,240,plastic,1,230,18.05,easy,2016-07-20,5.556383,-0.079395
BIN_00080,residential,Ashaiman,120,metal,1,350,6.58,moderate,2020-10-23,5.667674,-0.126319
BIN_00081,commercial,Achimota,660,metal,1,312,10.12,easy,2016-12-10,5.525421,-0.177214
BIN_00082,industrial,Achimota,1100,metal,1,94,19.53,easy,2015-12-08,5.533656,0.048969
BIN_00083,commercial,Accra Central,660,metal,1,1007,2.75,easy,2016-03-04,5.580436,-0.003934
BIN_00084,commercial,Accra Central,660,metal,1,663,3.0,moderate,2017-04-10,5.536477,-0.16966
BIN_00085,residential,Madina,120,plastic,0,316,3.23,easy,2018-04-16,5.658719,-0.145365
BIN_00086,commercial,Madina,240,plastic,1,339,10.2,easy,2018-07-11,5.535911,-0.199753
BIN_00087,industrial,La,1100,plastic,0,85,6.66,easy,2020-06-24,5.52208,-0.251782
BIN_00088,residential,Madina,120,metal,0,457,11.2,moderate,2017-01-15,5.652017,-0.16019
BIN_00089,residential,Teshie-Nungua,120,plastic,1,329,5.65,difficult,2018-10-19,5.542418,0.006594
BIN_00090,commercial,Airport Residential,660,metal,1,426,9.68,easy,2018-07-28,5.561262,-0.234012
BIN_00091,institutional,Teshie-Nungua,240,metal,1,1715,10.4,moderate,2020-09-20,5.612243,-0.189562
BIN_00092,commercial,Osu,660,concrete,1,312,2.32,easy,2016-12-31,5.615586,-0.081829
BIN_00093,market,Adenta,1100,plastic,0,2427,13.06,easy,2020-01-20,5.638085,-0.252676
BIN_00094,market,Dansoman,660,plastic,0,3346,9.49,moderate,2018-08-26,5.596168,-0.060989
BIN_00095,hospitality,Ashaiman,660,metal,1,320,10.57,difficult,2015-12-31,5.544748,-0.0743
BIN_00096,commercial,Osu,240,plastic,1,750,3.17,easy,2015-05-11,5.532442,-0.279228
BIN_00097,hospitality,Kasoa,660,metal,1,890,9.64,difficult,2019-03-01,5.549621,-0.101173
BIN_00098,institutional,La,660,concrete,1,1347,11.83,difficult,2018-07-15,5.555394,0.04593
BIN_00099,hospitality,Kaneshie,240,plastic,0,586,3.37,easy,2015-12-01,5.631587,-0.181875
BIN_00100,hospitality,Tema,660,concrete,1,166,7.1,moderate,2016-09-06,5.525921,-0.083231
BIN_00101,residential,Spintex,120,metal,1,276,6.64,moderate,2021-12-19,5.606144,-0.061654
BIN_00102,industrial,Accra Central,1100,concrete,1,67,5.35,easy,2017-01-28,5.549676,-0.153292
BIN_00103,hospitality,Achimota,660,metal,0,381,13.76,moderate,2019-11-07,5.677453,-0.02647
BIN_00104,commercial,Adenta,660,concrete,1,573,11.56,difficult,2015-05-26,5.557377,-0.266109
BIN_00105,residential,Airport Residential,120,plastic,1,104,11.61,moderate,2017-07-27,5.614169,0.044169
BIN_00106,institutional,La,240,plastic,1,1984,5.09,difficult,2018-08-26,5.617238,-0.110813
BIN_00107,residential,Tema,120,plastic,0,516,10.21,moderate,2016-12-27,5.661406,0.026158
BIN_00108,hospitality,East Legon,240,plastic,1,558,11.08,easy,2017-02-19,5.555811,-0.102798
BIN_00109,commercial,Airport Residential,1100,metal,1,292,7.29,easy,2018-09-17,5.525668,-0.171413
BIN_00110,hospitality,Achimota,240,plastic,1,281,16.68,easy,2016-03-29,5.67394,-0.243875
BIN_00111,institutional,East Legon,660,metal,1,886,10.42,easy,2020-03-04,5.607005,0.005283
BIN_00112,industrial,La,1100,concrete,1,266,9.38,moderate,2019-09-13,5.628823,-0.075858
BIN_00113,industrial,Adenta,1100,plastic,1,269,8.06,moderate,2019-04-24,5.545722,-0.010071
BIN_00114,institutional,East Legon,240,plastic,1,551,8.04,easy,2016-11-30,5.521452,-0.009836
BIN_00115,residential,Madina,240,plastic,0,284,8.69,difficult,2017-09-15,5.646209,-0.222661
BIN_00116,industrial,Teshie-Nungua,1100,concrete,1,234,6.11,moderate,2021-03-07,5.659446,0.041251
BIN_00117,hospitality,Teshie-Nungua,660,concrete,1,175,10.39,easy,2021-11-11,5.629327,-0.132852
BIN_00118,residential,East Legon,240,plastic,0,217,10.43,easy,2019-12-29,5.533181,-0.055435
BIN_00119,market,Achimota,1100,plastic,1,2328,18.91,difficult,2015-03-25,5.583615,-0.189509
BIN_00120,hospitality,Accra Central,240,plastic,1,288,5.34,moderate,2019-12-15,5.658297,-0.123841
BIN_00121,hospitality,Airport Residential,240,plastic,1,292,7.77,easy,2015-12-15,5.540999,-0.269266
BIN_00122,hospitality,Madina,240,plastic,1,622,8.47,easy,2016-06-04,5.552084,-0.117774
BIN_00123,residential,Kasoa,120,plastic,1,592,9.79,easy,2020-07-06,5.582799,-0.12162
BIN_00124,market,Achimota,1100,plastic,0,599,13.77,easy,2021-09-14,5.536447,-0.091602
BIN_00125,residential,Kasoa,120,plastic,1,124,11.92,moderate,2019-11-04,5.5761,-0.269043
BIN_00126,residential,Kasoa,120,metal,1,452,17.86,easy,2016-03-03,5.536731,-0.069978
BIN_00127,industrial,Kasoa,1100,concrete,1,149,19.22,difficult,2020-02-27,5.648276,-0.167981
BIN_00128,institutional,Adenta,660,concrete,1,1610,13.77,easy,2017-05-23,5.590177,-0.040807
BIN_00129,commercial,Spintex,240,metal,1,980,6.03,easy,2021-06-14,5.625393,-0.115595
BIN_00130,commercial,Tema,660,metal,1,713,3.73,easy,2016-03-20,5.531552,-0.269885
BIN_00131,residential,Spintex,120,metal,1,438,8.66,moderate,2017-08-13,5.526417,0.00612
BIN_00132,commercial,Teshie-Nungua,240,plastic,1,813,10.14,moderate,2017-01-24,5.614776,0.02108
BIN_00133,residential,East Legon,120,metal,1,287,6.65,easy,2017-07-28,5.579656,-0.110837
BIN_00134,commercial,Kasoa,660,metal,0,667,14.18,easy,2015-05-10,5.535242,-0.064799
BIN_00135,residential,Spintex,120,plastic,1,409,4.18,difficult,2021-05-23,5.557768,-0.255746
BIN_00136,residential,Dansoman,120,plastic,1,335,8.29,difficult,2021-06-18,5.546727,-0.224686
BIN_00137,residential,Ashaiman,120,plastic,0,573,7.02,difficult,2020-04-09,5.552935,-0.243067
BIN_00138,residential,Tema,120,plastic,1,427,5.02,easy,2017-12-18,5.570585,-0.112613
BIN_00139,residential,Dansoman,120,plastic,0,128,5.91,difficult,2018-05-31,5.560676,-0.107829
BIN_00140,residential,Kasoa,120,plastic,1,458,10.42,moderate,2020-07-26,5.550136,-0.038826
BIN_00141,residential,Kasoa,240,plastic,0,522,19.34,moderate,2020-12-01,5.559064,-0.005811
BIN_00142,institutional,Accra Central,240,metal,1,1701,2.08,moderate,2018-08-20,5.624197,-0.244824
BIN_00143,market,Tema,1100,metal,0,3580,9.77,easy,2016-05-03,5.537458,-0.065331
BIN_00144,industrial,Teshie-Nungua,1100,plastic,1,299,6.92,moderate,2018-09-29,5.567499,-0.065805
BIN_00145,residential,Accra Central,120,plastic,0,306,3.24,easy,2021-05-27,5.556363,-0.255845
BIN_00146,market,Airport Residential,1100,concrete,0,1299,11.56,moderate,2020-05-01,5.524103,-0.167388
BIN_00147,residential,Tema,120,plastic,1,309,7.94,moderate,2021-08-08,5.672884,-0.273983
BIN_00148,residential,Adenta,240,plastic,0,361,12.56,easy,2015-05-21,5.57626,-0.246531
BIN_00149,commercial,Ashaiman,240,plastic,0,946,5.8,moderate,2019-08-09,5.583985,0.042319
BIN_00150,institutional,Airport Residential,240,plastic,1,801,9.38,easy,2016-03-20,5.56105,0.037766
BIN_00151,commercial,Adenta,1100,metal,1,289,8.03,moderate,2018-07-24,5.661473,-0.204734
BIN_00152,residential,Dansoman,120,plastic,0,489,8.01,easy,2019-05-23,5.563969,-0.008537
BIN_00153,commercial,Dansoman,1100,concrete,1,646,4.38,easy,2018-06-03,5.595663,-0.103332
BIN_00154,residential,Ashaiman,120,plastic,1,289,6.52,moderate,2017-07-09,5.678046,-0.234975
BIN_00155,market,Madina,1100,metal,0,647,6.07,moderate,2019-05-23,5.635894,-0.089132
BIN_00156,residential,Airport Residential,120,plastic,1,182,6.3,easy,2016-12-08,5.590786,-0.005485
BIN_00157,market,Spintex,660,concrete,0,2127,7.8,easy,2015-12-08,5.627118,0.048066
BIN_00158,market,Accra Central,1100,metal,1,2341,1.44,difficult,2021-05-23,5.640774,-0.223742
BIN_00159,commercial,Airport Residential,660,concrete,1,512,10.16,difficult,2015-08-25,5.539173,0.041474
BIN_00160,residential,Teshie-Nungua,240,plastic,0,370,8.61,easy,2019-11-02,5.65835,-0.079199
BIN_00161,commercial,Teshie-Nungua,660,metal,1,492,6.24,easy,2020-07-03,5.558249,-0.111791
BIN_00162,institutional,Airport Residential,240,plastic,1,1298,7.47,difficult,2015-09-01,5.553362,0.027096
BIN_00163,residential,Tema,120,plastic,1,466,4.27,easy,2015-03-14,5.571604,-0.272445
BIN_00164,residential,Madina,120,metal,0,514,4.19,difficult,2015-06-13,5.617019,-0.234065
BIN_00165,institutional,Airport Residential,240,plastic,1,324,6.31,easy,2017-08-21,5.541627,0.037828
BIN_00166,commercial,Spintex,660,concrete,1,284,8.77,easy,2015-09-11,5.616409,-0.159617
BIN_00167,residential,Ashaiman,240,plastic,1,746,3.52,moderate,2016-04-01,5.588854,-0.223681
BIN_00168,residential,Spintex,120,plastic,0,124,7.58,difficult,2020-11-18,5.618435,-0.178936
BIN_00169,market,Spintex,1100,concrete,0,1511,8.89,easy,2021-01-11,5.586261,-0.006912
BIN_00170,industrial,Kasoa,1100,metal,1,185,17.48,moderate,2020-03-26,5.60565,-0.208983
BIN_00171,residential,Tema,120,plastic,1,140,6.34,easy,2021-09-08,5.5927,-0.001362
BIN_00172,residential,Dansoman,120,metal,1,432,10.3,moderate,2020-05-02,5.593511,-0.020945
BIN_00173,institutional,Osu,240,plastic,0,1655,1.38,easy,2015-08-30,5.526148,0.017581
BIN_00174,commercial,Achimota,660,metal,1,381,18.67,easy,2021-11-19,5.536911,0.046131
BIN_00175,commercial,La,240,plastic,1,257,3.64,easy,2019-07-27,5.601373,-0.152094
BIN_00176,commercial,Teshie-Nungua,660,concrete,1,417,4.57,easy,2021-07-25,5.652886,-0.257325
BIN_00177,commercial,Kaneshie,240,metal,1,978,4.12,easy,2017-08-20,5.539422,-0.077046
BIN_00178,industrial,Osu,1100,metal,1,130,1.63,easy,2017-02-08,5.616301,-0.087801
BIN_00179,industrial,Spintex,660,metal,1,199,3.86,easy,2017-04-25,5.590305,-0.07773
BIN_00180,hospitality,Airport Residential,660,concrete,1,76,11.93,easy,2018-05-30,5.657819,-0.00065
BIN_00181,institutional,Tema,660,metal,0,1856,8.02,easy,2019-10-26,5.548389,-0.100141
BIN_00182,hospitality,Kasoa,660,concrete,1,695,9.1,difficult,2019-01-26,5.600936,-0.002568
BIN_00183,industrial,Achimota,1100,concrete,1,76,9.82,easy,2020-11-25,5.621807,-0.02883
BIN_00184,residential,Dansoman,120,metal,0,543,5.5,easy,2020-01-30,5.648011,-0.212668
BIN_00185,commercial,Airport Residential,660,metal,1,578,7.99,easy,2015-11-10,5.52565,-0.033908
BIN_00186,residential,Tema,240,plastic,0,524,7.23,moderate,2016-11-28,5.57893,-0.131958
BIN_00187,industrial,La,660,metal,1,50,4.61,easy,2019-12-01,5.549011,-0.152068
BIN_00188,commercial,Adenta,660,concrete,1,663,14.74,moderate,2015-06-11,5.615899,-0.081292
BIN_00189,residential,Madina,120,plastic,1,280,10.06,moderate,2017-05-17,5.602763,-0.134734
BIN_00190,residential,Adenta,240,plastic,1,125,17.62,moderate,2017-10-16,5.567911,-0.222752
BIN_00191,market,Teshie-Nungua,1100,metal,0,3119,6.45,moderate,2017-04-16,5.549516,-0.160462
BIN_00192,residential,East Legon,240,plastic,1,265,11.37,moderate,2018-12-20,5.656436,-0.205571
BIN_00193,residential,Ashaiman,120,plastic,0,573,8.68,easy,2017-10-06,5.665502,-0.02253
BIN_00194,residential,Osu,120,plastic,1,400,4.28,difficult,2018-12-02,5.529129,-0.186878
BIN_00195,residential,Madina,120,plastic,0,298,6.86,moderate,2016-08-04,5.530459,-0.119102
BIN_00196,residential,Teshie-Nungua,120,plastic,1,271,9.95,easy,2018-11-23,5.523492,-0.060949
BIN_00197,hospitality,Kaneshie,660,metal,0,781,4.12,easy,2020-08-30,5.561045,-0.064122
BIN_00198,residential,La,120,plastic,0,486,4.65,easy,2016-09-20,5.556051,-0.197181
BIN_00199,institutional,Adenta,660,plastic,1,927,14.51,moderate,2015-06-26,5.606966,-0.253031
BIN_00200,commercial,Accra Central,660,metal,1,447,1.49,difficult,2016-03-10,5.624156,-0.100007
BIN_00201,residential,La,120,plastic,0,417,7.48,easy,2021-05-13,5.546353,-0.171029
BIN_00202,industrial,Kasoa,660,metal,1,108,11.07,difficult,2020-10-06,5.640117,-0.095866
BIN_00203,commercial,La,660,plastic,1,598,3.95,moderate,2021-08-23,5.580867,-0.024048
BIN_00204,hospitality,La,240,plastic,1,630,5.49,easy,2017-06-23,5.583355,0.02198
BIN_00205,commercial,Dansoman,660,concrete,1,828,6.27,difficult,2020-03-13,5.677363,-0.233565
BIN_00206,residential,La,240,plastic,1,276,8.54,easy,2019-03-28,5.638357,-0.17451
BIN_00207,hospitality,East Legon,660,concrete,1,151,10.94,easy,2015-09-04,5.540772,-0.053336
BIN_00208,residential,Teshie-Nungua,240,metal,1,471,4.69,difficult,2018-10-27,5.666913,-0.243453
BIN_00209,industrial,Osu,1100,plastic,1,139,3.47,moderate,2016-04-20,5.60407,-0.199368
BIN_00210,residential,Dansoman,120,plastic,1,287,7.05,moderate,2021-05-15,5.619349,-0.163716
BIN_00211,institutional,Achimota,660,metal,1,1530,9.28,easy,2021-04-14,5.531143,-0.222289
BIN_00212,institutional,Spintex,660,metal,1,812,10.8,easy,2020-12-30,5.554023,-0.269048
BIN_00213,residential,Airport Residential,240,metal,1,296,3.53,moderate,2018-02-12,5.665151,-0.058658
BIN_00214,commercial,Achimota,660,metal,1,505,9.55,easy,2020-08-08,5.537715,-0.140559
BIN_00215,residential,La,120,metal,1,383,11.75,moderate,2018-07-22,5.648785,-0.274058
BIN_00216,hospitality,Kaneshie,660,concrete,1,653,3.25,easy,2018-12-31,5.606512,-0.248144
BIN_00217,residential,Accra Central,120,plastic,1,262,2.5,moderate,2019-09-28,5.530319,0.009489
BIN_00218,institutional,East Legon,660,plastic,1,239,5.16,moderate,2019-08-21,5.588669,-0.191634
BIN_00219,industrial,Ashaiman,1100,metal,1,299,4.03,easy,2020-04-12,5.627072,-0.006335
BIN_00220,institutional,Accra Central,240,plastic,1,2207,3.32,easy,2016-10-20,5.662804,-0.133685
BIN_00221,market,Madina,1100,concrete,0,2629,4.19,easy,2020-10-24,5.598027,-0.064766
BIN_00222,hospitality,Tema,660,plastic,1,461,11.02,easy,2017-02-18,5.616651,0.019435
BIN_00223,residential,Dansoman,240,plastic,1,214,8.5,easy,2020-01-22,5.614539,-0.102788
BIN_00224,institutional,Accra Central,240,plastic,1,971,5.01,moderate,2015-11-14,5.583487,-0.265352
BIN_00225,residential,La,120,plastic,1,238,7.57,difficult,2016-02-01,5.628067,-0.265198
BIN_00226,commercial,Kaneshie,240,plastic,1,634,5.54,moderate,2021-10-28,5.5695,-0.008149
BIN_00227,hospitality,Dansoman,660,plastic,1,722,10.47,easy,2020-02-19,5.629854,-0.242219
BIN_00228,residential,Kaneshie,120,plastic,1,383,5.5,easy,2020-09-19,5.670676,-0.059371
BIN_00229,market,Tema,1100,concrete,0,1016,4.04,easy,2017-02-09,5.635836,-0.240216
BIN_00230,institutional,Kasoa,660,plastic,1,1740,14.39,easy,2020-06-21,5.526998,-0.239409
BIN_00231,commercial,Kaneshie,660,plastic,1,611,5.26,easy,2016-01-10,5.606805,0.004375
BIN_00232,commercial,Spintex,660,plastic,0,933,6.88,easy,2020-08-03,5.579208,-0.270951
BIN_00233,residential,La,120,plastic,1,157,11.01,easy,2019-12-16,5.524072,-0.066879
BIN_00234,market,Achimota,660,concrete,0,753,18.17,moderate,2019-01-03,5.678086,-0.130179
BIN_00235,market,East Legon,1100,metal,0,1280,4.22,easy,2020-07-30,5.668102,-0.14333
BIN_00236,residential,Kasoa,240,plastic,1,552,9.39,difficult,2019-09-28,5.679177,-0.100024
BIN_00237,residential,Achimota,240,plastic,1,236,14.5,easy,2021-06-10,5.605161,-0.224449
BIN_00238,residential,Adenta,120,plastic,1,177,8.69,easy,2017-09-30,5.557606,-0.005873
BIN_00239,commercial,Accra Central,660,metal,1,841,3.44,easy,2021-05-09,5.637532,-0.180839
BIN_00240,residential,La,120,plastic,1,115,7.28,moderate,2020-08-08,5.674245,0.02012
BIN_00241,industrial,East Legon,1100,metal,1,131,3.52,easy,2020-05-14,5.660334,0.031534
BIN_00242,residential,Madina,120,plastic,0,356,5.72,easy,2019-05-30,5.552516,-0.028607
BIN_00243,residential,Achimota,240,plastic,0,457,13.47,easy,2019-09-07,5.642324,-0.090735
BIN_00244,hospitality,Kaneshie,240,metal,1,831,5.47,easy,2018-09-08,5.591731,-0.111557
BIN_00245,market,Kaneshie,1100,concrete,0,691,5.36,moderate,2021-06-25,5.567903,-0.161624
BIN_00246,institutional,La,660,concrete,1,1982,4.81,difficult,2016-06-25,5.52229,-0.036503
BIN_00247,institutional,Accra Central,240,plastic,0,2015,5.05,difficult,2016-06-30,5.618177,-0.25076
BIN_00248,commercial,Airport Residential,240,plastic,1,311,7.94,easy,2020-07-08,5.531571,0.035188
BIN_00249,commercial,Tema,240,plastic,1,918,3.45,easy,2017-11-02,5.626697,-0.210333
BIN_00250,institutional,Madina,660,plastic,1,2197,5.89,easy,2021-06-26,5.607837,-0.20764
BIN_00251,residential,Madina,120,plastic,1,546,7.53,easy,2019-01-19,5.608745,-0.06976
BIN_00252,commercial,Tema,660,plastic,0,770,7.68,easy,2019-02-03,5.635305,-0.147523
BIN_00253,residential,Tema,120,plastic,1,479,5.86,easy,2020-02-28,5.527496,-0.188864
BIN_00254,industrial,Adenta,1100,metal,1,285,8.99,difficult,2016-09-24,5.577637,-0.19077
BIN_00255,institutional,Spintex,660,plastic,0,960,6.4,difficult,2021-09-14,5.629923,-0.117041
BIN_00256,residential,Achimota,240,plastic,1,201,18.51,easy,2016-06-06,5.672124,-0.048162
BIN_00257,residential,Ashaiman,120,plastic,0,212,7.49,moderate,2017-10-20,5.589237,-0.128959
BIN_00258,residential,Airport Residential,240,plastic,0,122,7.97,easy,2016-10-10,5.625177,-0.124147
BIN_00259,institutional,Accra Central,660,concrete,1,1092,5.65,easy,2017-11-17,5.675935,-0.262774
BIN_00260,market,Kasoa,660,plastic,1,1703,8.7,easy,2019-08-01,5.607009,-0.247044
BIN_00261,market,East Legon,660,metal,1,567,6.72,easy,2020-11-28,5.572839,0.019002
BIN_00262,residential,East Legon,120,metal,1,259,5.81,moderate,2021-11-17,5.603407,0.042085
BIN_00263,residential,Ashaiman,120,plastic,1,259,6.92,moderate,2016-10-26,5.643703,-0.109073
BIN_00264,residential,Airport Residential,120,plastic,0,223,10.91,easy,2021-01-16,5.66377,-0.021545
BIN_00265,industrial,La,660,metal,1,227,11.44,moderate,2018-01-07,5.529555,-0.058358
BIN_00266,commercial,La,1100,concrete,0,635,11.66,easy,2015-08-21,5.552797,-0.040543
BIN_00267,market,Osu,1100,concrete,0,867,5.06,moderate,2017-10-03,5.546221,-0.06787
BIN_00268,institutional,Kaneshie,660,metal,1,2162,4.54,easy,2019-11-12,5.668897,-0.115887
BIN_00269,residential,La,120,metal,1,196,7.51,moderate,2021-11-05,5.619345,0.026458
BIN_00270,industrial,Airport Residential,1100,metal,1,64,7.01,easy,2016-09-11,5.654984,0.043794
